Date,CLOSE,HIGH,LOW,OPEN,COUNT,VOLUME
2017-02-27,356.5,356.5,356.5,356.5,4.0,3674.0
2017-02-28,356.5,356.5,356.5,356.5,7.0,176587.0
2017-03-01,356.5,356.5,356.5,356.5,2.0,1024.0
2017-03-02,356.5,356.5,356.5,356.5,1.0,450.0
2017-03-03,357.5,357.5,357.5,357.5,0.0,0.0
2017-03-06,357.5,357.5,357.5,357.5,3.0,1717.0
2017-03-07,357.5,357.5,357.5,357.5,3.0,2256.0
2017-03-08,357.5,357.5,357.5,357.5,2.0,3823.0
2017-03-09,357.5,357.5,357.5,357.5,2.0,1101.0
2017-03-10,357.5,357.5,357.5,357.5,2.0,4365.0
2017-03-13,357.5,357.5,357.5,357.5,3.0,6823.0
2017-03-14,357.5,357.5,357.5,357.5,1.0,98164.0
2017-03-15,357.5,357.5,357.5,357.5,7.0,7783.0
2017-03-16,357.5,357.5,357.5,357.5,4.0,4085.0
2017-03-17,357.5,357.5,357.5,357.5,4.0,54688.0
2017-03-20,357.5,357.5,357.5,357.5,9.0,8534.0
2017-03-21,357.5,357.5,357.5,357.5,3.0,2300.0
2017-03-22,357.5,357.5,357.5,357.5,18.0,173692.0
2017-03-23,357.5,357.5,357.5,357.5,6.0,14825.0
2017-03-24,357.5,357.5,357.5,357.5,7.0,17588.0
2017-03-27,357.5,357.5,357.5,357.5,3.0,11026.0
2017-03-28,357.5,357.5,357.5,357.5,3.0,4270.0
2017-03-29,357.5,357.5,357.5,357.5,12.0,331151.0
2017-03-30,357.5,357.5,357.5,357.5,5.0,52130.0
2017-03-31,357.5,357.5,357.5,357.5,6.0,97649.0
2017-04-03,357.5,357.5,357.5,357.5,10.0,26114.0
2017-04-04,357.5,357.5,357.5,357.5,8.0,13731.0
2017-04-05,357.5,357.5,357.5,357.5,10.0,125075.0
2017-04-06,357.5,357.5,357.5,357.5,34.0,67941.0
2017-04-07,357.5,357.5,357.5,357.5,11.0,9211.0
2017-04-10,357.5,357.5,357.5,357.5,14.0,21608.0
2017-04-11,357.5,357.5,357.5,357.5,11.0,39988.0
2017-04-12,357.5,357.5,357.5,357.5,4.0,2205.0
2017-04-13,357.5,357.5,357.5,357.5,12.0,18660.0
2017-04-18,357.5,357.5,357.5,357.5,7.0,7198.0
2017-04-19,357.5,357.5,357.5,357.5,11.0,33438.0
2017-04-20,357.5,357.5,357.5,357.5,11.0,17889.0
2017-04-21,357.5,357.5,357.5,357.5,8.0,26447.0
2017-04-24,357.5,357.5,357.5,357.5,14.0,21222.0
2017-04-25,357.5,357.5,357.5,357.5,8.0,9717.0
2017-04-26,357.5,357.5,357.5,357.5,5.0,4337.0
2017-04-27,357.5,357.5,357.5,357.5,12.0,25161.0
2017-04-28,357.5,357.5,357.5,357.5,2.0,19746.0
2017-05-02,357.5,357.5,357.5,357.5,9.0,12979.0
2017-05-03,357.5,357.5,357.5,357.5,8.0,588740.0
2017-05-04,357.5,357.5,357.5,357.5,6.0,34625.0
2017-05-05,357.5,357.5,357.5,357.5,4.0,6982.0
2017-05-08,357.5,357.5,357.5,357.5,5.0,7611.0
2017-05-09,357.5,357.5,357.5,357.5,11.0,22162.0
2017-05-10,357.5,357.5,357.5,357.5,5.0,12527.0
2017-05-11,357.5,357.5,357.5,357.5,10.0,22387.0
2017-05-12,357.5,357.5,357.5,357.5,11.0,84458.0
2017-05-15,357.5,357.5,357.5,357.5,15.0,82438.0
2017-05-16,357.5,357.5,357.5,357.5,4.0,5759.0
2017-05-17,357.5,357.5,357.5,357.5,11.0,15274.0
2017-05-18,357.5,357.5,357.5,357.5,6.0,9077.0
2017-05-19,357.5,357.5,357.5,357.5,42.0,85213.0
2017-05-22,357.5,357.5,357.5,357.5,23.0,208158.0
2017-05-23,357.5,357.5,357.5,357.5,11.0,13603.0
2017-05-24,357.5,357.5,357.5,357.5,10.0,7813.0
2017-05-25,357.5,357.5,357.5,357.5,13.0,55751.0
2017-05-26,357.5,357.5,357.5,357.5,8.0,78832.0
2017-05-30,357.5,357.5,357.5,357.5,4.0,3859.0
2017-05-31,357.5,357.5,357.5,357.5,2.0,421.0
2017-06-01,357.5,357.5,357.5,357.5,21.0,76294.0
2017-06-02,357.5,357.5,357.5,357.5,13.0,130596.0
2017-06-05,357.5,357.5,357.5,357.5,10.0,8565.0
2017-06-06,357.5,357.5,357.5,357.5,6.0,6379.0
2017-06-07,357.5,357.5,357.5,357.5,11.0,23746.0
2017-06-08,357.5,357.5,357.5,357.5,9.0,13739.0
2017-06-09,357.5,357.5,357.5,357.5,8.0,7800.0
2017-06-12,357.5,357.5,357.5,357.5,7.0,10862.0
2017-06-13,357.5,357.5,357.5,357.5,11.0,50415.0
2017-06-14,357.5,357.5,357.5,357.5,7.0,8737.0
2017-06-15,357.5,357.5,357.5,357.5,30.0,80132.0
2017-06-16,357.5,357.5,357.5,357.5,5.0,2009.0
2017-06-19,357.5,357.5,357.5,357.5,14.0,45501.0
2017-06-20,357.5,357.5,357.5,357.5,4.0,10225.0
2017-06-21,357.5,357.5,357.5,357.5,5.0,14740.0
2017-06-22,357.5,357.5,357.5,357.5,6.0,13213.0
2017-06-23,357.5,357.5,357.5,357.5,2.0,5300.0
2017-06-26,357.5,357.5,357.5,357.5,1.0,1000.0
2017-06-27,357.5,357.5,357.5,357.5,1.0,245.0
2017-06-28,357.5,357.5,357.5,357.5,3.0,9100.0
2017-06-29,357.5,357.5,357.5,357.5,2.0,1186.0
2017-06-30,357.5,357.5,357.5,357.5,5.0,4139.0
2017-07-03,357.5,357.5,357.5,357.5,6.0,9542.0
2017-07-04,357.5,357.5,357.5,357.5,5.0,14980.0
2017-07-05,357.5,357.5,357.5,357.5,14.0,20052.0
2017-07-06,357.5,357.5,357.5,357.5,40.0,527853.0
2017-07-07,357.5,357.5,357.5,357.5,9.0,21668.0
2017-07-10,357.5,357.5,357.5,357.5,7.0,11778.0
2017-07-11,357.5,357.5,357.5,357.5,4.0,11459.0
2017-07-12,357.5,357.5,357.5,357.5,7.0,6799.0
2017-07-13,357.5,357.5,357.5,357.5,6.0,7325.0
2017-07-14,357.5,357.5,357.5,357.5,7.0,12380.0
2017-07-17,357.5,357.5,357.5,357.5,7.0,13610.0
2017-07-18,357.5,357.5,357.5,357.5,8.0,11698.0
2017-07-19,357.5,357.5,357.5,357.5,9.0,13211.0
2017-07-20,357.5,357.5,357.5,357.5,9.0,6077.0
2017-07-21,357.5,357.5,357.5,357.5,8.0,10810.0
2017-07-24,357.5,357.5,357.5,357.5,34.0,49766.0
2017-07-25,357.5,357.5,357.5,357.5,35.0,85521.0
2017-07-26,357.5,357.5,357.5,357.5,20.0,15892.0
2017-07-27,357.5,357.5,357.5,357.5,22.0,11962.0
2017-07-28,357.5,357.5,357.5,357.5,11.0,19519.0
2017-07-31,357.5,357.5,357.5,357.5,14.0,16884.0
2017-08-01,357.5,357.5,357.5,357.5,18.0,29310.0
2017-08-02,357.5,357.5,357.5,357.5,30.0,29293.0
2017-08-03,357.5,357.5,357.5,357.5,23.0,26131.0
2017-08-04,357.5,357.5,357.5,357.5,17.0,32792.0
2017-08-07,357.5,357.5,357.5,357.5,215.0,149333.0
2017-08-08,357.5,357.5,357.5,357.5,117.0,110428.0
2017-08-09,357.5,357.5,357.5,357.5,74.0,76759.0
2017-08-10,357.5,357.5,357.5,357.5,52.0,38569.0
2017-08-11,357.5,357.5,357.5,357.5,32.0,26386.0
2017-08-14,357.5,357.5,357.5,357.5,38.0,52665.0
2017-08-15,357.5,357.5,357.5,357.5,22.0,17307.0
2017-08-16,357.5,357.5,357.5,357.5,22.0,17151.0
2017-08-17,357.5,357.5,357.5,357.5,24.0,14012.0
2017-08-18,357.5,357.5,357.5,357.5,25.0,19748.0
2017-08-21,357.5,357.5,357.5,357.5,19.0,15601.0
2017-08-22,357.5,357.5,357.5,357.5,13.0,13632.0
