Company Name,RIC,RIC1(ticker),delisted MM,delisted YY,ISIN,CUSIP,SEDOL
Hufvudstaden Ord Shs Class C,0H2N.L^C20,0H2N,3,2020,GB0031587578,,
Hufvudstaden Ord Shs Class C,0H2N.L^A08,0H2N,1,2008,GB0002328259,,
Melker Schorling Ord Shs,0H2O.L^G19,0H2O,7,2019,SE0001785270,,
Melker Schorling Ord Shs,0H2O.L^A08,0H2O,1,2008,NL0009272137,,
Skistar Ord Shs Class B,0H34.L^A08,0H34,1,2008,GB0007382376,,
Skistar Ord Shs Class B,0H34.L^A19,0H34,1,2019,GB00B127GF29,,
Clariant Ord Shs,0H3K.L^K07,0H3K,11,2007,CH0012142631,,
Adidas N Ord Shs,0H3L.L^K07,0H3L,11,2007,DE000A1EWWW0,,
Epcos AG Ord Shs,0H3M.L^K08,0H3M,11,2008,DE0005128003,,
MAN Ord Shs,0H3U.L^B09,0H3U,2,2009,GB0033476960,,
MAN Ord Shs,0H3U.L^G09,0H3U,7,2009,DE0005937007,,
Infineon Technologies Ord Shs,0H3W.L^C09,0H3W,3,2009,GB0008152042,,
Linde Ord Shs,0H3X.L^D19,0H3X,4,2019,GB0002768892,,
MLP Ord Shs,0H3Y.L^C09,0H3Y,3,2009,GB00BYV2WV72,,
ALTANA Ord Shs,0H46.L^C09,0H46,3,2009,GB0002424710,,
Siemens Gamesa Renewable Energy Ord Shs,0H4N.L^B23,0H4N,2,2023,GB00B2PTQS53,,
NH Hotel Group Ord Shs,0H4P.L^E08,0H4P,5,2008,,,
Ferrovial Ord Shs,0H4Q.L^D10,0H4Q,4,2010,GB00B2PTQN09,,
Melia Hotels International Ord Shs,0H4V.L^E08,0H4V,5,2008,,,
Altadis Ord Shs,0H4W.L^E08,0H4W,5,2008,,,
Sogecable Depository Receipt,0H4Y.L^E08,0H4Y,5,2008,,,
L'Oreal Ord Shs,0H58.L^K07,0H58,11,2007,FR0000120321,,
Kering Ord Shs,0H5J.L^E08,0H5J,5,2008,,,
Stellantis Ord Shs,0H6D.L^K07,0H6D,11,2007,NL00150001Q9,,
Securitas Ord Shs Class B,0H6R.L^K07,0H6R,11,2007,SE0000163594,,
Fraport Frankfurt Airport Services Worldwide Ord Shs,0H7A.L^D09,0H7A,4,2009,GB0002287943,,
Diebold Nixdorf Ord Shs,0H7B.L^E19,0H7B,5,2019,,,
Dexia Ord Shs,0H9U.L^A09,0H9U,1,2009,GB00BPQY8M80,,
Clariant Ord Shs,0H9V.L^F09,0H9V,6,2009,,,
Bayer Schering Pharma Ord Shs,0HA1.L^J08,0HA1,10,2008,DE0007172009,,
Bayer Schering Pharma Ord Shs,0HA1.L^E08,0HA1,5,2008,,,
Bayerische Hypo-Und Vereinsbank Ord Shs,0HA2.L^J08,0HA2,10,2008,DE0008022005,,
Promotora De Informaciones Sa Ord Shs A Promotora De Informaciones Spain,0HAD.L^E09,0HAD,5,2009,,,
SUEZ Ord Shs,0HAO.L^F09,0HAO,6,2009,,,
Aetna Ord Shs,0HAO.L^L18,0HAO,12,2018,US00817Y1082,00817Y108,
Lafarge Ord Shs,0HAP.L^K15,0HAP,11,2015,FR0000120537,,
Electricite de France Ord Shs,0HBA.L^F23,0HBA,6,2023,,,
Alleanza Assicurazioni Ord Shs,0HBE.L^K09,0HBE,11,2009,IT0000078193,,
Rizzoli Corriere Della Sera Mediagroup Ord Shs,0HBH.L^E09,0HBH,5,2009,,,
Italiaonline Ord Shs,0HBK.L^B09,0HBK,2,2009,GB0002042009,,
A2A Ord Shs,0HBL.L^K07,0HBL,11,2007,IT0001233417,,
Mediolanum Ord Shs,0HBM.L^A16,0HBM,1,2016,GB0030907850,,
GEDI Gruppo Editoriale Ord Shs,0HBO.L^E08,0HBO,5,2008,,,
GEDI Gruppo Editoriale Ord Shs,0HBO.L^H20,0HBO,8,2020,IT0001398541,,
Skanska Ord Shs Class B,0HBT.L^B09,0HBT,2,2009,GB00B5MSYN75,,
Volvo Ord Shs Class B,0HBU.L^K07,0HBU,11,2007,SE0000115446,928856301,
Jazztel Ord Shs,0HCP.L^K07,0HCP,11,2007,GB00B5TMSP21,,
Nobel Biocare Ord Shs,0HCR.L^E08,0HCR,5,2008,,,
Vivendi Ord Shs,0HCT.L^K07,0HCT,11,2007,FR0000127771,,
Apple Ord Shs,0HDZ.L^A08,0HDZ,1,2008,GB00BC7H5F74,,
Apple Ord Shs,0HDZ.L^L08,0HDZ,12,2008,US0378331005,037833100,
Intralot Integrated Lottery Systems & Services SA Ord Shs,0HFO.L^E09,0HFO,5,2009,,,
Jazztel Ord Shs,0HFR.L^E08,0HFR,5,2008,,,
Subsea 7 Ord Shs,0HGR.L^E09,0HGR,5,2009,,,
Abb Ord Shs,0HJF.L^G09,0HJF,7,2009,CH0012221716,,
Strabag Ord Shs,0HJM.L^D10,0HJM,4,2010,GB0033982967,,
Adecco Group Ord Shs,0HK1.L^F09,0HK1,6,2009,,,
Compagnie Financiere Richemont Ord Shs,0HK4.L^K08,0HK4,11,2008,CH0210483332,,
Avon Products Ord Shs,0HK8.L^E21,0HK8,5,2021,,,
Holcim Ltd Ord Shs,0HK9.L^F09,0HK9,6,2009,,,
Kudelski Ord Shs,0HKA.L^C09,0HKA,3,2009,GB0034255470,,
Lonza Group Ord Shs,0HKB.L^F09,0HKB,6,2009,,,
Nestle Ord Shs,0HKD.L^G08,0HKD,7,2008,CH0038863350,,
Novartis Ord Shs,0HKE.L^F09,0HKE,6,2009,,,
Swisscom Ord Shs,0HKH.L^F09,0HKH,6,2009,,,
SGS Ord Shs,0HKI.L^F09,0HKI,6,2009,,,
Syngenta Ord Shs,0HKK.L^F09,0HKK,6,2009,,,
Futuren Ord Shs,0HL2.L^E09,0HL2,5,2009,,,
Mercator Ord Shs,0HLM.L^E08,0HLM,5,2008,,,
C R Bard Ord Shs,0HLV.L^K19,0HLV,11,2019,US0673831097,067383109,
Alapis Ord Shs,0HM8.L^E09,0HM8,5,2009,,,
GAM Holding Ord Shs,0HN7.L^F09,0HN7,6,2009,,,
Gecina Ord Shs,0HO1.L^D10,0HO1,4,2010,GB0034289115,,
Casa Damiani Ord Shs,0HPQ.L^B08,0HPQ,2,2008,GB00B00SJ738,,
Cigna Ord Shs,0HQY.L^A19,0HQY,1,2019,GB00B00V4D30,,
CA Ord Shs,0HRV.L^C20,0HRV,3,2020,GB00B03KV585,,
Volvo Ord Shs Class B,0HTP.L^F08,0HTP,6,2008,,,
Zumtobel Group Ord Shs,0HTX.L^D10,0HTX,4,2010,GB00B1WBK747,,
Albioma Ord Shs,0HV5.L^D10,0HV5,4,2010,GB0009781856,,
